"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"4476","12.366304","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4477","12.366304","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4478","12.366324","0.000020","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4428798 Win=1016064 Len=0"
"4479","12.366419","0.000095","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4480","12.366420","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4481","12.366420","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4482","12.366421","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4483","12.366421","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4484","12.366422","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4485","12.366441","0.000019","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4437558 Win=1016064 Len=0"
"4486","12.366512","0.000071","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4487","12.366513","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4488","12.366513","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4489","12.366514","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4490","12.366530","0.000016","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4443398 Win=1016064 Len=0"
"4491","12.368887","0.002357","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4492","12.368900","0.000013","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4444858 Win=1016064 Len=0"
"4493","12.375389","0.006489","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4494","12.375389","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4495","12.375390","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4496","12.375390","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4497","12.375390","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4498","12.375391","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4499","12.375391","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4500","12.375391","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4501","12.375392","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4502","12.375392","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4503","12.375418","0.000026","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4459458 Win=1016064 Len=0"
"4504","12.375516","0.000098","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4505","12.375516","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4506","12.375517","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4507","12.375517","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4508","12.375517","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4509","12.375518","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4510","12.375518","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4511","12.375518","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4512","12.375519","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4513","12.375519","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4514","12.375543","0.000024","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4474058 Win=1016064 Len=0"
"4515","12.375637","0.000094","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4516","12.375637","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4517","12.375638","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4518","12.375638","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4519","12.375638","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4520","12.375639","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4521","12.375639","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4522","12.375639","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4523","12.375640","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4524","12.375640","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4525","12.375664","0.000024","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4488658 Win=1016064 Len=0"
"4526","12.375733","0.000069","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4527","12.375733","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4528","12.375733","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4529","12.375734","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4530","12.375734","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4531","12.375734","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4532","12.375753","0.000019","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4497418 Win=1016064 Len=0"
"4533","12.375832","0.000079","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4534","12.375833","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4535","12.375833","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4536","12.375833","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4537","12.375834","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4538","12.375834","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4539","12.375852","0.000018","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4506178 Win=1016064 Len=0"
"4540","12.395648","0.019796","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4541","12.395649","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4542","12.395650","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4543","12.395650","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4544","12.395651","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4545","12.395651","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4546","12.395651","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4547","12.395652","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4548","12.395652","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4549","12.395653","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4550","12.395712","0.000059","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4520778 Win=1016064 Len=0"
"4551","12.395933","0.000221","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4552","12.395934","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4553","12.395935","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4554","12.395935","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4555","12.395936","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4556","12.395936","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4557","12.395936","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4558","12.395937","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4559","12.395937","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4560","12.395938","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4561","12.395975","0.000037","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4535378 Win=1016064 Len=0"
"4562","12.396076","0.000101","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4563","12.396076","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4564","12.396077","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4565","12.396077","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4566","12.396078","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4567","12.396078","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4568","12.396078","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4569","12.396079","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4570","12.396079","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4571","12.396080","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4572","12.396080","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4573","12.396081","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
