"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Identification","Info"
"77","0.001229","0.000001","147.227.17.186","10.0.64.129","TCP","64","0","118","0x0100 (256)","17880  >  80 [SYN] Seq=0 Win=16384 Len=0"
"78","0.001231","0.000001","219.99.39.198","10.0.64.129","TCP","64","0","110","0x0100 (256)","21196  >  80 [SYN] Seq=0 Win=16384 Len=0"
"79","0.001325","0.000094","147.227.17.55","10.0.64.129","TCP","64","0","118","0x0100 (256)","17749  >  80 [SYN] Seq=0 Win=16384 Len=0"
"80","0.001327","0.000001","212.252.19.14","10.0.64.129","TCP","64","0","123","0x0100 (256)","18045  >  80 [SYN] Seq=0 Win=16384 Len=0"
"81","0.001329","0.000002","147.227.17.57","10.0.64.129","TCP","64","0","118","0x0100 (256)","17751  >  80 [SYN] Seq=0 Win=16384 Len=0"
"82","0.001331","0.000001","219.99.39.204","10.0.64.129","TCP","64","0","110","0x0100 (256)","21202  >  80 [SYN] Seq=0 Win=16384 Len=0"
"83","0.001368","0.000037","131.171.40.5","10.0.64.129","TCP","64","0","122","0x0100 (256)","20931  >  80 [SYN] Seq=0 Win=16384 Len=0"
"84","0.001371","0.000002","212.212.4.238","10.0.64.129","TCP","64","0","123","0x0100 (256)","11789  >  80 [SYN] Seq=0 Win=16384 Len=0"
"85","0.001373","0.000002","212.212.4.239","10.0.64.129","TCP","64","0","123","0x0100 (256)","11790  >  80 [SYN] Seq=0 Win=16384 Len=0"
"86","0.001375","0.000001","147.227.17.64","10.0.64.129","TCP","64","0","118","0x0100 (256)","17758  >  80 [SYN] Seq=0 Win=16384 Len=0"
"87","0.001377","0.000001","200.80.27.193","10.0.64.129","TCP","64","0","111","0x0100 (256)","19300  >  80 [SYN] Seq=0 Win=16384 Len=0"
"88","0.001379","0.000001","147.227.17.71","10.0.64.129","TCP","64","0","118","0x0100 (256)","17765  >  80 [SYN] Seq=0 Win=16384 Len=0"
"89","0.001380","0.000001","206.126.36.177","10.0.64.129","TCP","64","0","117","0x0100 (256)","19434  >  80 [SYN] Seq=0 Win=16384 Len=0"
"90","0.001448","0.000068","Cisco_46:1b:71","Broadcast","ARP","68","","","","Who has 10.0.63.136? Tell 10.0.63.130[Packet size limited during capture]"
"91","0.001606","0.000157","89.245.192.141","10.0.64.129","TCP","844","782","53","0x0235 (565)","1070  >  80 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=782"
"92","0.001607","0.000000","147.227.17.114","10.0.64.129","TCP","64","0","118","0x0100 (256)","17808  >  80 [SYN] Seq=0 Win=16384 Len=0"
"93","0.001607","0.000000","147.227.17.149","10.0.64.129","TCP","64","0","118","0x0100 (256)","17843  >  80 [SYN] Seq=0 Win=16384 Len=0"
"94","0.001607","0.000000","219.99.39.168","10.0.64.129","TCP","64","0","110","0x0100 (256)","21166  >  80 [SYN] Seq=0 Win=16384 Len=0"
